date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:32	106567/106567	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202025%2004:43:06%20GMT	https://growstudio-template.webflow.io/home	C:/My%20Web%20Sites/Triwiz%20Project/growstudio-template.webflow.io/home.html	(from )
14:22:32	20/20	---MCZ	200	added ('OK')	text/plain	date:Sun,%2019%20Jan%202025%2021:12:46%20GMT	https://growstudio-template.webflow.io/robots.txt		(from )
14:22:33	140713/140713	---M-Z	200	added ('OK')	text/css	etag:%227f7aa64a8d9f837a32b89cdb394186d0%22	https://cdn.prod.website-files.com/6716051c7e279a14d3641f31/css/growstudio-template.webflow.490f057b0.css	C:/My%20Web%20Sites/Triwiz%20Project/cdn.prod.website-files.com/6716051c7e279a14d3641f31/css/growstudio-template.webflow.490f057b0.css	(from https://growstudio-template.webflow.io/home)
14:22:33	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/Triwiz%20Project/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://growstudio-template.webflow.io/home)
14:22:33	76912/76912	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jan%202025%2006:24:27%20GMT	https://growstudio-template.webflow.io/about	C:/My%20Web%20Sites/Triwiz%20Project/growstudio-template.webflow.io/about.html	(from https://growstudio-template.webflow.io/home)
14:22:34	50949/50949	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202025%2019:58:46%20GMT	https://growstudio-template.webflow.io/works	C:/My%20Web%20Sites/Triwiz%20Project/growstudio-template.webflow.io/works.html	(from https://growstudio-template.webflow.io/home)
14:22:34	46714/46714	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Jan%202025%2008:52:50%20GMT	https://growstudio-template.webflow.io/services	C:/My%20Web%20Sites/Triwiz%20Project/growstudio-template.webflow.io/services.html	(from https://growstudio-template.webflow.io/home)
14:22:34	52144/52144	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202025%2014:22:16%20GMT	https://growstudio-template.webflow.io/blogs	C:/My%20Web%20Sites/Triwiz%20Project/growstudio-template.webflow.io/blogs.html	(from https://growstudio-template.webflow.io/home)
14:22:34	59675/59675	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202025%2015:19:20%20GMT	https://growstudio-template.webflow.io/pricing	C:/My%20Web%20Sites/Triwiz%20Project/growstudio-template.webflow.io/pricing.html	(from https://growstudio-template.webflow.io/home)
14:22:34	39199/39199	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202025%2019:47:14%20GMT	https://growstudio-template.webflow.io/work-posts/nextgen-nexus	C:/My%20Web%20Sites/Triwiz%20Project/growstudio-template.webflow.io/work-posts/nextgen-nexus.html	(from https://growstudio-template.webflow.io/home)
